task,presentation_order,item,key,subject,correct
carver,4,17,Y,sub-095,0
carver,4,17,Y,sub-101,1
carver,5,5,N,sub-026,1
carver,5,5,N,sub-032,1
carver,5,5,N,sub-034,1
carver,5,5,N,sub-036,1
carver,5,5,N,sub-038,1
carver,5,5,N,sub-048,1
carver,5,5,N,sub-049,1
carver,5,5,N,sub-057,0
carver,5,5,N,sub-058,0
carver,5,5,N,sub-059,1
carver,5,5,N,sub-060,1
carver,5,5,N,sub-061,1
carver,5,5,N,sub-062,1
carver,5,5,N,sub-074,0
carver,5,5,N,sub-075,1
carver,5,5,N,sub-091,1
carver,5,5,N,sub-092,1
carver,5,5,N,sub-093,1
carver,5,5,N,sub-094,1
carver,5,5,N,sub-095,1
carver,5,5,N,sub-101,1
carver,6,13,N,sub-026,1
carver,6,13,N,sub-032,1
carver,6,13,N,sub-034,1
carver,6,13,N,sub-036,1
carver,6,13,N,sub-038,1
carver,6,13,N,sub-048,1
carver,6,13,N,sub-049,1
carver,6,13,N,sub-057,1
carver,6,13,N,sub-058,1
carver,6,13,N,sub-059,1
carver,6,13,N,sub-060,1
carver,6,13,N,sub-061,1
carver,6,13,N,sub-062,0
carver,6,13,N,sub-074,1
carver,6,13,N,sub-075,1
carver,6,13,N,sub-091,1
carver,6,13,N,sub-092,1
carver,6,13,N,sub-093,1
carver,6,13,N,sub-094,1
carver,6,13,N,sub-095,0
carver,6,13,N,sub-101,1
carver,7,10,N,sub-026,1
carver,7,10,N,sub-032,1
carver,7,10,N,sub-034,1
carver,7,10,N,sub-036,1
carver,7,10,N,sub-038,1
carver,7,10,N,sub-048,1
carver,7,10,N,sub-049,1
carver,7,10,N,sub-057,1
carver,7,10,N,sub-058,1
carver,7,10,N,sub-059,1
carver,7,10,N,sub-060,1
carver,7,10,N,sub-061,1
carver,7,10,N,sub-062,0
carver,7,10,N,sub-074,1
carver,7,10,N,sub-075,1
carver,7,10,N,sub-091,1
carver,7,10,N,sub-092,1
carver,7,10,N,sub-093,1
carver,7,10,N,sub-094,1
carver,7,10,N,sub-095,1
carver,7,10,N,sub-101,1
carver,8,3,N,sub-026,1
carver,8,3,N,sub-032,1
carver,8,3,N,sub-034,1
carver,8,3,N,sub-036,1
carver,8,3,N,sub-038,1
carver,8,3,N,sub-048,1
carver,8,3,N,sub-049,1
carver,8,3,N,sub-057,0
carver,8,3,N,sub-058,1
carver,8,3,N,sub-059,1
carver,8,3,N,sub-060,1
carver,8,3,N,sub-061,1
carver,8,3,N,sub-062,1
carver,8,3,N,sub-074,1
carver,8,3,N,sub-075,1
carver,8,3,N,sub-091,1
carver,8,3,N,sub-092,1
carver,8,3,N,sub-093,0
carver,8,3,N,sub-094,1
carver,8,3,N,sub-095,1
carver,8,3,N,sub-101,1
carver,9,8,Y,sub-026,0
carver,9,8,Y,sub-032,1
carver,9,8,Y,sub-034,1
carver,9,8,Y,sub-036,1
carver,9,8,Y,sub-038,1
carver,9,8,Y,sub-048,1
carver,9,8,Y,sub-049,1
carver,9,8,Y,sub-057,1
carver,9,8,Y,sub-058,1
carver,9,8,Y,sub-059,1
carver,9,8,Y,sub-060,1
carver,9,8,Y,sub-061,1
carver,9,8,Y,sub-062,1
carver,9,8,Y,sub-074,1
carver,9,8,Y,sub-075,1
carver,9,8,Y,sub-091,1
carver,9,8,Y,sub-092,1
carver,9,8,Y,sub-093,1
carver,9,8,Y,sub-094,1
carver,9,8,Y,sub-095,1
carver,9,8,Y,sub-101,1
carver,10,2,Y,sub-026,1
carver,10,2,Y,sub-032,1
carver,10,2,Y,sub-034,1
carver,10,2,Y,sub-036,1
carver,10,2,Y,sub-038,1
carver,10,2,Y,sub-048,1
carver,10,2,Y,sub-049,1
carver,10,2,Y,sub-057,1
carver,10,2,Y,sub-058,1
carver,10,2,Y,sub-059,1
carver,10,2,Y,sub-060,1
carver,10,2,Y,sub-061,1
carver,10,2,Y,sub-062,1
carver,10,2,Y,sub-074,1
carver,10,2,Y,sub-075,1
carver,10,2,Y,sub-091,1
carver,10,2,Y,sub-092,1
carver,10,2,Y,sub-093,1
carver,10,2,Y,sub-094,1
carver,10,2,Y,sub-095,1
carver,10,2,Y,sub-101,1
carver,11,9,Y,sub-026,1
carver,11,9,Y,sub-032,1
carver,11,9,Y,sub-034,1
carver,11,9,Y,sub-036,1
carver,11,9,Y,sub-038,1
carver,11,9,Y,sub-048,1
carver,11,9,Y,sub-049,1
carver,11,9,Y,sub-057,1
carver,11,9,Y,sub-058,1
carver,11,9,Y,sub-059,1
carver,11,9,Y,sub-060,1
carver,11,9,Y,sub-061,1
carver,11,9,Y,sub-062,1
carver,11,9,Y,sub-074,1
carver,11,9,Y,sub-075,1
carver,11,9,Y,sub-091,1
carver,11,9,Y,sub-092,1
carver,11,9,Y,sub-093,1
carver,11,9,Y,sub-094,1
carver,11,9,Y,sub-095,1
carver,11,9,Y,sub-101,1
carver,12,4,Y,sub-026,1
carver,12,4,Y,sub-032,1
carver,12,4,Y,sub-034,1
carver,12,4,Y,sub-036,1
carver,12,4,Y,sub-038,1
carver,12,4,Y,sub-048,1
carver,12,4,Y,sub-049,1
carver,12,4,Y,sub-057,0
carver,12,4,Y,sub-058,1
carver,12,4,Y,sub-059,1
carver,12,4,Y,sub-060,1
carver,12,4,Y,sub-061,1
carver,12,4,Y,sub-062,0
carver,12,4,Y,sub-074,1
carver,12,4,Y,sub-075,1
carver,12,4,Y,sub-091,0
carver,12,4,Y,sub-092,1
carver,12,4,Y,sub-093,1
carver,12,4,Y,sub-094,1
carver,12,4,Y,sub-095,1
carver,12,4,Y,sub-101,1
carver,13,11,Y,sub-026,1
carver,13,11,Y,sub-032,1
carver,13,11,Y,sub-034,1
carver,13,11,Y,sub-036,1
carver,13,11,Y,sub-038,1
carver,13,11,Y,sub-048,1
carver,13,11,Y,sub-049,1
carver,13,11,Y,sub-057,0
carver,13,11,Y,sub-058,1
carver,13,11,Y,sub-059,1
carver,13,11,Y,sub-060,1
carver,13,11,Y,sub-061,1
carver,13,11,Y,sub-062,1
carver,13,11,Y,sub-074,1
carver,13,11,Y,sub-075,1
carver,13,11,Y,sub-091,1
carver,13,11,Y,sub-092,1
carver,13,11,Y,sub-093,1
carver,13,11,Y,sub-094,1
carver,13,11,Y,sub-095,1
carver,13,11,Y,sub-101,1
carver,14,6,N,sub-026,1
carver,14,6,N,sub-032,1
carver,14,6,N,sub-034,1
carver,14,6,N,sub-036,1
carver,14,6,N,sub-038,1
carver,14,6,N,sub-048,1
carver,14,6,N,sub-049,1
carver,14,6,N,sub-057,1
carver,14,6,N,sub-058,1
carver,14,6,N,sub-059,1
carver,14,6,N,sub-060,1
carver,14,6,N,sub-061,1
carver,14,6,N,sub-062,1
carver,14,6,N,sub-074,1
carver,14,6,N,sub-075,1
carver,14,6,N,sub-091,1
carver,14,6,N,sub-092,1
carver,14,6,N,sub-093,1
carver,14,6,N,sub-094,1
carver,14,6,N,sub-095,1
carver,14,6,N,sub-101,1
carver,15,12,Y,sub-026,1
carver,15,12,Y,sub-032,1
carver,15,12,Y,sub-034,1
carver,15,12,Y,sub-036,1
carver,15,12,Y,sub-038,1
carver,15,12,Y,sub-048,1
carver,15,12,Y,sub-049,1
carver,15,12,Y,sub-057,1
carver,15,12,Y,sub-058,1
carver,15,12,Y,sub-059,1
carver,15,12,Y,sub-060,1
carver,15,12,Y,sub-061,1
carver,15,12,Y,sub-062,1
carver,15,12,Y,sub-074,1
carver,15,12,Y,sub-075,0
carver,15,12,Y,sub-091,1
carver,15,12,Y,sub-092,1
carver,15,12,Y,sub-093,0
carver,15,12,Y,sub-094,1
carver,15,12,Y,sub-095,1
carver,15,12,Y,sub-101,1
carver,16,15,N,sub-026,1
carver,16,15,N,sub-032,1
carver,16,15,N,sub-034,1
carver,16,15,N,sub-036,1
carver,16,15,N,sub-038,1
carver,16,15,N,sub-048,1
carver,16,15,N,sub-049,1
carver,16,15,N,sub-057,1
carver,16,15,N,sub-058,1
carver,16,15,N,sub-059,1
carver,16,15,N,sub-060,1
carver,16,15,N,sub-061,1
carver,16,15,N,sub-062,1
carver,16,15,N,sub-074,1
carver,16,15,N,sub-075,1
carver,16,15,N,sub-091,1
carver,16,15,N,sub-092,1
carver,16,15,N,sub-093,1
carver,16,15,N,sub-094,1
carver,16,15,N,sub-095,1
carver,16,15,N,sub-101,1
carver,17,14,N,sub-026,1
carver,17,14,N,sub-032,1
carver,17,14,N,sub-034,1
carver,17,14,N,sub-036,1
carver,17,14,N,sub-038,1
carver,17,14,N,sub-048,1
carver,17,14,N,sub-049,1
carver,17,14,N,sub-057,0
carver,17,14,N,sub-058,1
carver,17,14,N,sub-059,1
carver,17,14,N,sub-060,1
carver,17,14,N,sub-061,1
carver,17,14,N,sub-062,1
carver,17,14,N,sub-074,1
carver,17,14,N,sub-075,1
carver,17,14,N,sub-091,1
carver,17,14,N,sub-092,1
carver,17,14,N,sub-093,1
carver,17,14,N,sub-094,1
carver,17,14,N,sub-095,1
carver,17,14,N,sub-101,1
ntf,1,1,Y,sub-027,1
ntf,1,1,Y,sub-028,0
ntf,1,1,Y,sub-029,1
ntf,1,1,Y,sub-030,1
ntf,1,1,Y,sub-037,1
ntf,1,1,Y,sub-039,1
ntf,1,1,Y,sub-045,1
ntf,1,1,Y,sub-046,NA
ntf,1,1,Y,sub-054,1
ntf,1,1,Y,sub-055,1
ntf,1,1,Y,sub-063,1
ntf,1,1,Y,sub-065,1
ntf,1,1,Y,sub-069,1
ntf,1,1,Y,sub-070,1
ntf,1,1,Y,sub-072,1
ntf,1,1,Y,sub-073,0
ntf,1,1,Y,sub-086,1
ntf,1,1,Y,sub-087,0
ntf,1,1,Y,sub-088,0
ntf,1,1,Y,sub-089,0
ntf,1,1,Y,sub-090,1
ntf,1,1,Y,sub-099,1
ntf,1,1,Y,sub-100,1
ntf,1,1,Y,sub-103,1
ntf,2,11,Y,sub-027,1
ntf,2,11,Y,sub-028,1
ntf,2,11,Y,sub-029,0
ntf,2,11,Y,sub-030,1
ntf,2,11,Y,sub-037,1
ntf,2,11,Y,sub-039,1
ntf,2,11,Y,sub-045,1
ntf,2,11,Y,sub-046,NA
ntf,2,11,Y,sub-054,0
ntf,2,11,Y,sub-055,1
ntf,2,11,Y,sub-063,1
ntf,2,11,Y,sub-065,1
ntf,2,11,Y,sub-069,0
ntf,2,11,Y,sub-070,1
ntf,2,11,Y,sub-072,1
ntf,2,11,Y,sub-073,1
ntf,2,11,Y,sub-086,0
ntf,2,11,Y,sub-087,0
ntf,2,11,Y,sub-088,1
ntf,2,11,Y,sub-089,1
ntf,2,11,Y,sub-090,1
ntf,2,11,Y,sub-099,1
ntf,2,11,Y,sub-100,1
ntf,2,11,Y,sub-103,1
ntf,3,3,N,sub-027,1
ntf,3,3,N,sub-028,1
ntf,3,3,N,sub-029,1
ntf,3,3,N,sub-030,0
ntf,3,3,N,sub-037,1
ntf,3,3,N,sub-039,1
ntf,3,3,N,sub-045,1
ntf,3,3,N,sub-046,NA
ntf,3,3,N,sub-054,1
ntf,3,3,N,sub-055,0
ntf,3,3,N,sub-063,1
ntf,3,3,N,sub-065,1
ntf,3,3,N,sub-069,1
ntf,3,3,N,sub-070,1
ntf,3,3,N,sub-072,1
ntf,3,3,N,sub-073,0
ntf,3,3,N,sub-086,1
ntf,3,3,N,sub-087,1
ntf,3,3,N,sub-088,0
ntf,3,3,N,sub-089,1
ntf,3,3,N,sub-090,1
ntf,3,3,N,sub-099,1
ntf,3,3,N,sub-100,0
ntf,3,3,N,sub-103,1
ntf,4,5,N,sub-027,1
ntf,4,5,N,sub-028,1
ntf,4,5,N,sub-029,1
ntf,4,5,N,sub-030,1
ntf,4,5,N,sub-037,1
ntf,4,5,N,sub-039,1
ntf,4,5,N,sub-045,1
ntf,4,5,N,sub-046,NA
ntf,4,5,N,sub-054,0
ntf,4,5,N,sub-055,1
ntf,4,5,N,sub-063,1
ntf,4,5,N,sub-065,1
ntf,4,5,N,sub-069,1
ntf,4,5,N,sub-070,1
ntf,4,5,N,sub-072,0
ntf,4,5,N,sub-073,1
ntf,4,5,N,sub-086,1
ntf,4,5,N,sub-087,1
ntf,4,5,N,sub-088,1
ntf,4,5,N,sub-089,1
ntf,4,5,N,sub-090,1
ntf,4,5,N,sub-099,1
ntf,4,5,N,sub-100,1
ntf,4,5,N,sub-103,1
ntf,5,4,Y,sub-027,1
ntf,5,4,Y,sub-028,1
ntf,5,4,Y,sub-029,1
ntf,5,4,Y,sub-030,1
ntf,5,4,Y,sub-037,1
ntf,5,4,Y,sub-039,1
ntf,5,4,Y,sub-045,1
ntf,5,4,Y,sub-046,NA
ntf,5,4,Y,sub-054,1
ntf,5,4,Y,sub-055,1
ntf,5,4,Y,sub-063,1
ntf,5,4,Y,sub-065,0
ntf,5,4,Y,sub-069,1
ntf,5,4,Y,sub-070,1
ntf,5,4,Y,sub-072,1
ntf,5,4,Y,sub-073,1
ntf,5,4,Y,sub-086,1
ntf,5,4,Y,sub-087,1
ntf,5,4,Y,sub-088,1
ntf,5,4,Y,sub-089,1
ntf,5,4,Y,sub-090,1
ntf,5,4,Y,sub-099,1
ntf,5,4,Y,sub-100,1
ntf,5,4,Y,sub-103,1
ntf,6,2,Y,sub-027,1
ntf,6,2,Y,sub-028,1
ntf,6,2,Y,sub-029,1
ntf,6,2,Y,sub-030,1
ntf,6,2,Y,sub-037,1
ntf,6,2,Y,sub-039,1
ntf,6,2,Y,sub-045,1
ntf,6,2,Y,sub-046,NA
ntf,6,2,Y,sub-054,1
ntf,6,2,Y,sub-055,1
ntf,6,2,Y,sub-063,1
ntf,6,2,Y,sub-065,0
ntf,6,2,Y,sub-069,1
ntf,6,2,Y,sub-070,1
ntf,6,2,Y,sub-072,1
ntf,6,2,Y,sub-073,1
ntf,6,2,Y,sub-086,1
ntf,6,2,Y,sub-087,1
ntf,6,2,Y,sub-088,1
ntf,6,2,Y,sub-089,1
ntf,6,2,Y,sub-090,1
ntf,6,2,Y,sub-099,1
ntf,6,2,Y,sub-100,1
ntf,6,2,Y,sub-103,1
ntf,7,10,N,sub-027,1
ntf,7,10,N,sub-028,1
ntf,7,10,N,sub-029,0
ntf,7,10,N,sub-030,1
ntf,7,10,N,sub-037,1
ntf,7,10,N,sub-039,1
ntf,7,10,N,sub-045,1
ntf,7,10,N,sub-046,NA
ntf,7,10,N,sub-054,1
ntf,7,10,N,sub-055,1
ntf,7,10,N,sub-063,1
ntf,7,10,N,sub-065,1
ntf,7,10,N,sub-069,1
ntf,7,10,N,sub-070,1
ntf,7,10,N,sub-072,1
ntf,7,10,N,sub-073,1
ntf,7,10,N,sub-086,1
ntf,7,10,N,sub-087,1
ntf,7,10,N,sub-088,1
ntf,7,10,N,sub-089,1
ntf,7,10,N,sub-090,0
ntf,7,10,N,sub-099,1
ntf,7,10,N,sub-100,1
ntf,7,10,N,sub-103,1
ntf,8,6,N,sub-027,1
ntf,8,6,N,sub-028,1
ntf,8,6,N,sub-029,1
ntf,8,6,N,sub-030,1
ntf,8,6,N,sub-037,1
ntf,8,6,N,sub-039,0
ntf,8,6,N,sub-045,1
ntf,8,6,N,sub-046,NA
ntf,8,6,N,sub-054,1
ntf,8,6,N,sub-055,0
ntf,8,6,N,sub-063,1
ntf,8,6,N,sub-065,1
ntf,8,6,N,sub-069,0
ntf,8,6,N,sub-070,0
ntf,8,6,N,sub-072,1
ntf,8,6,N,sub-073,0
ntf,8,6,N,sub-086,1
ntf,8,6,N,sub-087,0
ntf,8,6,N,sub-088,1
ntf,8,6,N,sub-089,1
ntf,8,6,N,sub-090,1
ntf,8,6,N,sub-099,0
ntf,8,6,N,sub-100,0
ntf,8,6,N,sub-103,0
ntf,9,7,Y,sub-027,1
ntf,9,7,Y,sub-028,1
ntf,9,7,Y,sub-029,1
ntf,9,7,Y,sub-030,1
ntf,9,7,Y,sub-037,1
ntf,9,7,Y,sub-039,1
ntf,9,7,Y,sub-045,1
ntf,9,7,Y,sub-046,NA
ntf,9,7,Y,sub-054,1
ntf,9,7,Y,sub-055,1
ntf,9,7,Y,sub-063,1
ntf,9,7,Y,sub-065,1
ntf,9,7,Y,sub-069,1
ntf,9,7,Y,sub-070,1
ntf,9,7,Y,sub-072,1
ntf,9,7,Y,sub-073,1
ntf,9,7,Y,sub-086,1
ntf,9,7,Y,sub-087,1
ntf,9,7,Y,sub-088,1
ntf,9,7,Y,sub-089,1
ntf,9,7,Y,sub-090,1
ntf,9,7,Y,sub-099,1
ntf,9,7,Y,sub-100,1
ntf,9,7,Y,sub-103,0
ntf,10,8,Y,sub-027,1
ntf,10,8,Y,sub-028,1
ntf,10,8,Y,sub-029,0
ntf,10,8,Y,sub-030,1
ntf,10,8,Y,sub-037,1
ntf,10,8,Y,sub-039,1
ntf,10,8,Y,sub-045,1
ntf,10,8,Y,sub-046,NA
ntf,10,8,Y,sub-054,1
ntf,10,8,Y,sub-055,1
ntf,10,8,Y,sub-063,1
ntf,10,8,Y,sub-065,1
ntf,10,8,Y,sub-069,1
ntf,10,8,Y,sub-070,1
ntf,10,8,Y,sub-072,1
ntf,10,8,Y,sub-073,1
ntf,10,8,Y,sub-086,1
ntf,10,8,Y,sub-087,1
ntf,10,8,Y,sub-088,1
ntf,10,8,Y,sub-089,1
ntf,10,8,Y,sub-090,1
ntf,10,8,Y,sub-099,1
ntf,10,8,Y,sub-100,1
ntf,10,8,Y,sub-103,1
ntf,11,9,N,sub-027,1
ntf,11,9,N,sub-028,1
ntf,11,9,N,sub-029,1
ntf,11,9,N,sub-030,1
ntf,11,9,N,sub-037,1
ntf,11,9,N,sub-039,1
ntf,11,9,N,sub-045,1
ntf,11,9,N,sub-046,NA
ntf,11,9,N,sub-054,0
ntf,11,9,N,sub-055,1
ntf,11,9,N,sub-063,1
ntf,11,9,N,sub-065,0
ntf,11,9,N,sub-069,1
ntf,11,9,N,sub-070,1
ntf,11,9,N,sub-072,1
ntf,11,9,N,sub-073,1
ntf,11,9,N,sub-086,1
ntf,11,9,N,sub-087,1
ntf,11,9,N,sub-088,1
ntf,11,9,N,sub-089,1
ntf,11,9,N,sub-090,1
ntf,11,9,N,sub-099,1
ntf,11,9,N,sub-100,1
ntf,11,9,N,sub-103,1
